ticker_code,sales_year,sales_month,total_sales_yoy,existing_sales_yoy,customer_count_yoy,spend_per_customer_yoy,store_count
9983,2024,1,,100.4,98.7,101.8,
9983,2024,2,,,,,
9983,2024,3,,111.5,,,
9983,2024,4,,98.7,,,
9983,2024,5,,,,,
9983,2024,6,,,,,
9983,2024,7,,,,,
9983,2024,8,,,,,
9983,2024,9,,,,,
9983,2024,10,,,,,
9983,2024,11,,,,,
9983,2024,12,,,,,
9983,2025,1,,114.0,107.5,106.0,
9983,2025,2,,,,,
9983,2025,3,,,,,
9983,2025,4,,99.0,,,
9983,2025,5,,,,,
9983,2025,6,,,,,
9983,2025,7,,,,,
9983,2025,8,,,,,
9983,2025,9,,,,,
9983,2025,10,,,,,
9983,2025,11,,,,,
9983,2025,12,,,,,
2702,2024,1,,,,,
2702,2024,2,,,,,
2702,2024,3,,,,,
2702,2024,4,,,,,
2702,2024,5,,,,,
2702,2024,6,,,,,
2702,2024,7,,98.4,,,
2702,2024,8,,,,,
2702,2024,9,,105.5,,,
2702,2024,10,,108.1,,,
2702,2024,11,,105.6,,,
2702,2024,12,,103.4,,,
2702,2025,1,,,,,
2702,2025,2,,100.8,,,
2702,2025,3,,,,,
2702,2025,4,,,,,
2702,2025,5,,114.7,,,
2702,2025,6,,,,,
2702,2025,7,,,,,
2702,2025,8,,105.3,,,
2702,2025,9,,,,,
2702,2025,10,,,,,
2702,2025,11,,,,,
2702,2025,12,,,,,
3197,2024,1,,109.4,,,
3197,2024,2,,,,,
3197,2024,3,,109.4,,,
3197,2024,4,,109.2,,,
3197,2024,5,,,,,
3197,2024,6,,,,,
3197,2024,7,,,,,
3197,2024,8,,,,,
3197,2024,9,,,,,
3197,2024,10,,106.9,,,
3197,2024,11,,,,,
3197,2024,12,,,,,
3197,2025,1,,,,,
3197,2025,2,,,,,
3197,2025,3,,,,,
3197,2025,4,,,,,
3197,2025,5,,,,,
3197,2025,6,,,,,
3197,2025,7,,,,,
3197,2025,8,,,,,
3197,2025,9,,,,,
3197,2025,10,,,,,
3197,2025,11,,,,,
3197,2025,12,,,,,
